ID,Age,Height,Weight,Sex,Total,Sport
2680,25,191.0,92.0,M,0,Canoe Sprint
2681,24,164.0,,M,0,Boxing
2682,20,180.0,82.0,M,0,Swimming
2683,21,177.0,71.0,M,0,Swimming
2684,25,165.0,75.0,M,1,Cycling - Track
2685,33,198.0,104.0,M,0,Rowing
2686,31,190.0,76.0,M,0,Volleyball
2687,20,171.0,75.0,F,0,Football
2688,29,160.0,55.0,F,0,Wrestling
2689,30,172.0,70.0,F,0,Hockey
2690,24,175.0,65.0,F,0,Cycling - Mountain Bike
2691,31,173.0,63.0,F,0,Athletics
2692,25,177.0,54.0,F,0,Athletics
2693,29,162.0,68.0,F,0,Shooting
2694,24,158.0,60.0,M,0,Judo
2695,19,168.0,72.0,M,0,Football
2696,25,165.0,72.0,M,0,Swimming
2697,26,165.0,57.0,F,0,Athletics
2698,24,174.0,69.0,M,0,Hockey
2699,21,189.0,74.0,M,0,Football
2700,25,164.0,58.0,F,0,Tennis
2701,24,180.0,64.0,F,2,Fencing
2702,31,191.0,77.0,M,0,Swimming
2703,21,160.0,55.0,M,0,Wrestling
2704,32,158.0,57.0,F,0,Weightlifting
2705,24,172.0,60.0,F,0,Swimming
2706,27,161.0,55.0,F,0,Archery
2707,22,162.0,43.0,F,0,Athletics
2708,24,163.0,60.0,F,0,Wrestling
2709,25,176.0,75.0,F,0,Hockey
2710,23,173.0,62.0,M,0,Diving
2711,23,168.0,60.0,M,0,Wrestling
2712,33,173.0,54.0,M,0,Athletics
2713,26,189.0,86.0,M,0,Water Polo
2714,19,180.0,66.0,F,0,Water Polo
2715,17,,,M,0,Athletics
2716,23,160.0,,F,0,Boxing
2717,39,161.0,48.0,F,0,Athletics
2718,28,182.0,79.0,M,0,Sailing
2719,27,178.0,84.0,M,0,Wrestling
2720,27,183.0,81.0,M,0,Hockey
2721,26,156.0,48.0,F,1,Diving
2722,24,173.0,,F,0,Taekwondo
2723,25,170.0,60.0,M,0,Football
2724,24,173.0,,M,0,Boxing
2725,20,166.0,55.0,F,0,Modern Pentathlon
2726,26,166.0,69.0,M,0,Sailing
2727,24,169.0,,M,0,Boxing
2728,34,186.0,76.0,M,1,Canoe Slalom
2729,22,170.0,56.0,F,0,Water Polo
2730,19,183.0,83.0,M,0,Cycling - Track
2731,49,180.0,77.0,M,0,Equestrian
2732,37,191.0,80.0,F,0,Volleyball
2733,22,180.0,61.0,M,0,Athletics
2734,25,,,M,0,Wrestling
2735,28,185.0,71.0,M,0,Athletics
2736,28,182.0,78.0,M,0,Rowing
2737,21,176.0,62.0,F,1,Swimming
2738,19,150.0,52.0,F,0,Athletics
2739,27,192.0,118.0,M,0,Wrestling
2740,22,178.0,70.0,F,0,Basketball
2741,21,175.0,65.0,F,1,Swimming
2742,35,174.0,68.0,M,0,Cycling - Road
2743,21,180.0,,M,0,Boxing
2744,26,169.0,68.0,M,0,Weightlifting
2745,24,180.0,75.0,M,0,Badminton
2746,20,194.0,70.0,F,0,Volleyball
2747,29,189.0,83.0,M,0,Hockey
2748,34,165.0,57.0,F,0,Rowing
2749,23,163.0,49.0,F,0,Shooting
2750,24,167.0,75.0,F,0,Weightlifting
2751,28,174.0,62.0,M,0,Athletics
2752,20,202.0,96.0,M,0,Swimming
2753,26,180.0,84.0,M,0,Wrestling
2754,36,,,M,0,Canoe Sprint
2755,22,165.0,53.0,F,0,Modern Pentathlon
2756,30,173.0,70.0,F,0,Handball
2757,25,169.0,60.0,F,0,Athletics
2758,32,175.0,80.0,M,0,Table Tennis
2759,20,170.0,48.0,F,0,Athletics
2760,22,167.0,52.0,F,0,Athletics
2761,24,170.0,69.0,F,0,Athletics
2762,23,171.0,,F,0,Synchronised Swimming
2763,27,155.0,50.0,F,0,Rowing
2764,22,194.0,104.0,M,0,Volleyball
2765,25,186.0,70.0,M,0,Rowing
2766,29,157.0,48.0,F,0,Cycling - Road
2767,33,180.0,70.0,M,0,Sailing
2768,26,165.0,63.0,M,0,Canoe Slalom
2769,24,175.0,74.0,M,0,Athletics
2770,27,168.0,73.0,M,0,Athletics
2771,40,188.0,75.0,M,1,Rowing
2772,17,173.0,,F,0,Synchronised Swimming
2773,25,160.0,48.0,F,1,Judo
2774,24,,,F,0,Swimming
2775,27,190.0,88.0,M,0,Water Polo
2776,18,175.0,82.0,M,0,Athletics
2777,34,176.0,98.0,M,0,Shooting
2778,24,186.0,75.0,M,0,Triathlon
2779,23,172.0,69.0,M,0,Football
2780,30,184.0,100.0,M,0,Judo
2781,31,184.0,83.0,M,0,Hockey
2782,18,158.0,40.0,F,0,Swimming
2783,19,193.0,79.0,F,0,Basketball
2784,26,170.0,60.0,F,0,Swimming
2785,26,180.0,72.0,M,0,Rowing
2786,23,176.0,64.0,F,0,Cycling - Road
2787,31,185.0,79.0,M,0,Hockey
2788,22,160.0,68.0,F,0,Handball
2789,21,160.0,,M,0,Boxing
2790,25,173.0,66.0,M,0,Judo
2791,26,160.0,117.0,F,0,Shooting
2792,23,166.0,55.0,M,0,Wrestling
2793,23,186.0,120.0,M,0,Athletics
2794,28,179.0,,F,0,Taekwondo
2795,22,178.0,,M,0,Boxing
2796,24,179.0,,M,0,Boxing
2797,44,168.0,64.0,M,0,Shooting
2798,35,178.0,70.0,F,0,Rowing
2799,23,168.0,61.0,F,0,Hockey
2800,18,160.0,46.0,F,0,Athletics
2801,26,188.0,76.0,M,0,Swimming
2802,28,181.0,82.0,M,0,Tennis
2803,26,172.0,60.0,M,0,Cycling - BMX
2804,29,168.0,70.0,F,0,Athletics
2805,27,187.0,80.0,M,0,Equestrian
2806,14,162.0,50.0,F,0,Swimming
2807,26,175.0,72.0,M,0,Badminton
2808,23,173.0,69.0,F,0,Swimming
2809,22,170.0,62.0,F,1,Archery
2810,26,183.0,67.0,M,0,Sailing
2811,29,165.0,58.0,M,0,Athletics
2812,30,168.0,66.0,M,0,Judo
2813,20,164.0,64.0,F,0,Diving
2814,27,170.0,59.0,F,0,Athletics
2815,24,165.0,66.0,M,0,Judo
2816,45,183.0,83.0,M,0,Shooting
2817,30,187.0,98.0,M,0,Athletics
2818,25,,,M,0,Fencing
2819,28,183.0,77.0,M,0,Cycling - Road
2820,21,183.0,71.0,F,1,Swimming
2821,26,168.0,85.0,M,0,Weightlifting
2822,16,152.0,,F,0,Gymnastics - Artistic
2823,25,170.0,66.0,M,0,Judo
2824,42,167.0,64.0,F,0,Equestrian
2825,24,163.0,55.0,F,0,Badminton
2826,39,191.0,109.0,M,0,Sailing
2827,22,175.0,72.0,M,0,Archery
2828,35,180.0,83.0,M,0,Shooting
2829,19,165.0,55.0,F,0,Swimming
2830,18,162.0,,F,0,Gymnastics - Rhythmic
2831,29,183.0,63.0,M,0,Athletics
2832,25,177.0,73.0,F,0,Swimming
2833,21,180.0,75.0,M,0,Fencing
2834,32,173.0,64.0,F,0,Canoe Sprint
2835,35,192.0,93.0,M,0,Handball
2836,44,175.0,70.0,M,0,Shooting
2837,24,152.0,53.0,F,0,Weightlifting
2838,22,183.0,79.0,M,0,Diving
2839,31,168.0,58.0,M,0,Athletics
2840,23,188.0,78.0,M,0,Football
2841,30,185.0,85.0,M,0,Tennis
2842,22,168.0,,F,0,Synchronised Swimming
2843,20,171.0,,M,0,Trampoline
2844,23,175.0,60.0,F,0,Athletics
2845,25,164.0,57.0,F,0,Diving
2846,32,191.0,92.0,M,0,Rowing
2847,31,168.0,68.0,M,0,Wrestling
2848,24,170.0,65.0,F,0,Water Polo
2849,33,204.0,90.0,M,0,Volleyball
2850,22,196.0,98.0,M,1,Swimming
2851,39,177.0,60.0,M,0,Athletics
2852,23,174.0,,F,0,Boxing
2853,21,175.0,61.0,F,0,Athletics
2854,18,180.0,,M,0,Taekwondo
2855,25,192.0,90.0,M,0,Swimming
2856,25,,,M,0,Athletics
2857,30,189.0,77.0,M,0,Triathlon
2858,26,168.0,55.0,F,0,Athletics
2859,29,165.0,52.0,F,0,Athletics
2860,24,184.0,62.0,M,0,Athletics
2861,22,179.0,78.0,F,0,Basketball
2862,25,170.0,73.0,M,0,Athletics
2863,52,183.0,77.0,M,0,Equestrian
2864,31,189.0,86.0,M,0,Water Polo
2865,31,171.0,67.0,F,0,Sailing
2866,22,186.0,77.0,M,0,Football
2867,25,163.0,57.0,F,1,Table Tennis
2868,24,160.0,,M,1,Gymnastics - Artistic
2869,32,160.0,49.0,F,0,Athletics
2870,29,172.0,63.0,F,1,Canoe Slalom
2871,30,,,F,0,Athletics
2872,32,176.0,80.0,M,0,Shooting
2873,22,,,F,0,Athletics
2874,32,194.0,92.0,M,0,Canoe Sprint
2875,36,165.0,63.0,F,0,Athletics
2876,17,157.0,,F,0,Gymnastics - Artistic
2877,27,180.0,82.0,F,0,Handball
2878,29,163.0,,F,0,Boxing
2879,33,167.0,52.0,F,0,Cycling - Road
2880,31,166.0,52.0,F,0,Cycling - Road
2881,29,180.0,106.0,M,0,Shooting
2882,44,173.0,80.0,M,0,Equestrian
2883,22,188.0,92.0,M,0,Handball
2884,35,199.0,106.0,M,0,Handball
2885,24,,,M,0,Athletics
2886,27,174.0,73.0,M,0,Hockey
2887,35,170.0,54.0,F,0,Athletics
2888,27,196.0,84.0,M,0,Basketball
2889,35,191.0,93.0,M,0,Rowing
2890,33,193.0,83.0,M,0,Fencing
2891,35,181.0,81.0,M,0,Sailing
2892,27,180.0,74.0,F,0,Handball
2893,32,180.0,71.0,F,0,Handball
2894,25,178.0,75.0,F,0,Beach Volleyball
2895,24,182.0,73.0,M,0,Modern Pentathlon
2896,26,180.0,65.0,F,0,Swimming
2897,20,165.0,53.0,F,0,"Cycling - Mountain Bike, Cycling - Road, Cycling - Track"
2898,24,183.0,76.0,M,0,Canoe Slalom
2899,21,146.0,,F,0,Gymnastics - Artistic
2900,32,172.0,66.0,F,0,Volleyball
2901,25,165.0,75.0,F,0,Weightlifting
2902,33,182.0,70.0,F,0,Basketball
2903,30,175.0,73.0,M,0,Tennis
2904,46,176.0,60.0,F,0,Equestrian
2905,24,190.0,72.0,M,0,Athletics
2906,24,182.0,62.0,F,0,Athletics
2907,23,204.0,90.0,M,1,Swimming
2908,22,178.0,74.0,M,0,Football
2909,16,163.0,60.0,F,0,Football
2910,24,189.0,123.0,M,0,Judo
2911,21,168.0,56.0,F,0,Fencing
2912,34,193.0,87.0,M,0,Fencing
2913,19,183.0,91.0,M,0,Cycling - BMX
2914,33,176.0,70.0,M,0,Athletics
2915,33,183.0,90.0,M,0,Water Polo
2916,28,192.0,98.0,M,0,Water Polo
2917,24,169.0,,F,0,Synchronised Swimming
2918,28,163.0,51.0,F,0,Athletics
2919,27,170.0,66.0,M,0,Judo
2920,29,170.0,75.0,M,0,Football
2921,29,165.0,62.0,M,1,Weightlifting
2922,25,186.0,81.0,M,0,Beach Volleyball
2923,33,172.0,55.0,M,0,Athletics
2924,28,174.0,58.0,F,0,Athletics
2925,23,193.0,78.0,M,0,Swimming
2926,21,169.0,58.0,F,0,Football
2927,25,152.0,52.0,F,1,Diving
2928,30,180.0,72.0,F,0,Basketball
2929,25,193.0,91.0,M,0,Water Polo
2930,33,182.0,72.0,M,0,Athletics
2931,33,182.0,73.0,M,0,Athletics
2932,25,186.0,63.0,F,0,Swimming
2933,25,190.0,78.0,M,0,Athletics
2934,20,192.0,80.0,M,0,Athletics
2935,28,167.0,48.0,F,0,Athletics
2936,23,173.0,63.0,F,0,Swimming
2937,18,167.0,55.0,F,0,Swimming
2938,32,173.0,57.0,F,0,Judo
2939,26,186.0,81.0,M,0,Swimming
2940,23,170.0,55.0,F,0,Triathlon
2941,23,163.0,62.0,F,0,Hockey
2942,23,169.0,90.0,F,0,Athletics
2943,18,178.0,72.0,M,0,Swimming
2944,28,191.0,86.0,M,0,Water Polo
2945,25,170.0,58.0,F,0,Badminton
2946,29,178.0,68.0,F,0,Athletics
2947,33,188.0,78.0,M,1,Badminton
2948,22,192.0,95.0,F,0,Athletics
2949,33,,67.0,M,0,Cycling - Road
2950,28,175.0,68.0,F,0,Football
2951,24,158.0,,F,0,Synchronised Swimming
2952,28,176.0,,F,0,Boxing
2953,24,174.0,63.0,F,0,Athletics
2954,21,186.0,85.0,M,0,Canoe Sprint
2955,20,180.0,67.0,F,0,Hockey
2956,31,165.0,48.0,F,0,Athletics
2957,19,185.0,70.0,M,0,Sailing
2958,18,179.0,69.0,M,0,Sailing
2959,27,188.0,78.0,M,0,Tennis
2960,40,171.0,55.0,F,0,Fencing
2961,22,162.0,,M,0,Boxing
2962,31,178.0,65.0,F,0,Handball
2963,32,177.0,75.0,F,0,Rowing
2964,26,175.0,78.0,F,0,Canoe Sprint
2965,29,188.0,77.0,M,1,Canoe Slalom
2966,30,170.0,60.0,M,0,Sailing
2967,27,170.0,59.0,F,0,Athletics
2968,30,180.0,64.0,M,0,Athletics
2969,22,168.0,60.0,F,0,Hockey
2970,25,185.0,90.0,M,1,Rowing
2971,43,178.0,74.0,M,0,Equestrian
2972,28,174.0,67.0,F,0,Canoe Sprint
2973,21,179.0,65.0,F,0,Handball
2974,29,156.0,63.0,F,0,Hockey
2975,26,174.0,90.0,M,1,"Cycling - Mountain Bike, Cycling - Track"
2976,32,191.0,88.0,M,1,Rowing
2977,29,189.0,135.0,M,0,Athletics
2978,21,174.0,,F,0,Synchronised Swimming
2979,24,199.0,97.0,M,0,Rowing
2980,27,172.0,62.0,F,0,Swimming
2981,28,165.0,50.0,F,0,Equestrian
2982,37,165.0,62.0,F,0,Athletics
2983,33,183.0,84.0,M,0,Canoe Sprint
2984,31,170.0,64.0,F,0,Athletics
2985,24,187.0,86.0,M,0,Water Polo
2986,25,196.0,98.0,M,0,Athletics
2987,25,155.0,59.0,F,0,Canoe Sprint
2988,23,170.0,73.0,M,0,Canoe Sprint
2989,24,,,M,0,Rowing
2990,26,196.0,91.0,F,0,Basketball
2991,29,183.0,79.0,M,0,Hockey
2992,20,167.0,,F,0,Gymnastics - Rhythmic
2993,18,166.0,60.0,F,1,Canoe Slalom
2994,43,198.0,76.0,M,1,Equestrian
2995,26,182.0,,F,0,Handball
2996,29,175.0,70.0,M,0,Rowing
2997,30,174.0,68.0,F,0,Beach Volleyball
2998,29,188.0,79.0,F,1,Rowing
2999,23,183.0,77.0,M,0,Swimming
3000,28,178.0,65.0,F,0,Football
3001,21,170.0,49.0,F,0,Athletics
3002,35,160.0,57.0,F,0,Hockey
3003,30,172.0,57.0,F,0,Athletics
3004,32,188.0,86.0,M,0,Rowing
3005,24,168.0,57.0,F,0,Athletics
3006,36,181.0,110.0,M,1,Archery
3007,25,180.0,66.0,F,0,Handball
3008,22,195.0,88.0,M,0,Table Tennis
3009,32,182.0,78.0,F,0,Hockey
3010,17,185.0,75.0,F,3,Swimming
3011,32,173.0,55.0,F,0,Shooting
3012,25,169.0,72.0,F,0,Wrestling
3013,32,180.0,75.0,F,0,Rowing
3014,22,188.0,84.0,M,0,Swimming
3015,24,186.0,86.0,M,0,Swimming
3016,21,172.0,73.0,M,0,Athletics
3017,20,194.0,85.0,M,0,Swimming
3018,19,186.0,80.0,M,0,Rowing
3019,25,152.0,57.0,F,0,Athletics
3020,26,178.0,72.0,F,0,Water Polo
3021,29,175.0,75.0,M,0,Athletics
3022,28,191.0,95.0,M,0,Rowing
3023,23,,,M,0,Swimming
3024,33,173.0,66.0,M,0,Wrestling
3025,22,188.0,79.0,M,0,Athletics
3026,44,185.0,87.0,M,0,Equestrian
3027,22,178.0,68.0,M,0,Athletics
3028,46,180.0,62.0,F,0,Equestrian
3029,31,171.0,54.0,F,0,Triathlon
3030,44,180.0,78.0,M,0,Equestrian
3031,25,211.0,111.0,M,0,Basketball
3032,23,183.0,78.0,M,0,Football
3033,24,196.0,92.0,M,0,Athletics
3034,22,187.0,82.0,M,0,Sailing
3035,24,181.0,75.0,M,0,Table Tennis
3036,22,172.0,58.0,F,0,Sailing
3037,29,181.0,85.0,M,0,Hockey
3038,22,191.0,86.0,M,0,Volleyball
3039,26,195.0,90.0,M,0,Basketball
3040,28,179.0,57.0,F,0,Athletics
3041,24,183.0,74.0,F,0,Swimming
3042,20,180.0,75.0,M,0,Football
3043,28,168.0,50.0,F,0,Triathlon
3044,27,183.0,110.0,F,0,Athletics
3045,30,194.0,75.0,M,0,Triathlon
3046,37,184.0,80.0,M,0,Swimming
3047,20,190.0,84.0,M,0,Swimming
3048,24,175.0,,F,0,Taekwondo
3049,27,185.0,71.0,M,1,Cycling - Road
3050,24,200.0,100.0,M,0,Athletics
3051,20,162.0,,F,0,Trampoline
3052,34,166.0,58.0,F,0,Hockey
3053,28,181.0,77.0,M,0,Badminton
3054,16,177.0,63.0,F,0,Swimming
3055,22,182.0,100.0,M,0,Athletics
3056,25,161.0,50.0,F,0,Athletics
3057,20,186.0,72.0,M,0,Hockey
3058,30,181.0,87.0,M,0,Badminton
3059,22,183.0,70.0,F,0,Handball
3060,33,154.0,48.0,F,0,Fencing
3061,20,170.0,70.0,M,0,Football
3062,29,169.0,,F,0,Synchronised Swimming
3063,27,190.0,92.0,M,0,Hockey
3064,27,182.0,69.0,M,0,Cycling - Road
3065,23,160.0,60.0,F,0,Badminton
3066,27,184.0,77.0,M,0,Swimming
3067,30,174.0,66.0,M,0,Wrestling
3068,31,157.0,51.0,F,0,Hockey
3069,24,164.0,56.0,M,0,Athletics
3070,30,167.0,54.0,M,0,Athletics
3071,18,168.0,,F,0,Gymnastics - Rhythmic
3072,25,179.0,77.0,M,0,Tennis
3073,30,170.0,58.0,F,0,Sailing
3074,29,176.0,75.0,M,0,Shooting
3075,29,180.0,75.0,F,0,Rowing
3076,30,189.0,90.0,M,0,Rowing
3077,31,193.0,81.0,F,0,Rowing
3078,22,172.0,59.0,F,0,Swimming
3079,29,188.0,95.0,M,0,Rowing
3080,30,167.0,60.0,M,0,Swimming
3081,39,171.0,72.0,M,0,Shooting
3082,32,187.0,105.0,M,0,Weightlifting
3083,28,202.0,96.0,M,0,Athletics
3084,23,171.0,61.0,F,0,Fencing
3085,20,173.0,64.0,M,0,Football
3086,31,186.0,66.0,M,0,Athletics
3087,16,170.0,45.0,F,0,Athletics
3088,17,157.0,52.0,F,0,Athletics
3089,32,165.0,61.0,F,0,Basketball
3090,23,176.0,70.0,F,0,Sailing
3091,29,177.0,69.0,F,0,Handball
3092,26,185.0,82.0,M,0,Table Tennis
3093,28,178.0,96.0,M,0,Wrestling
3094,22,203.0,103.0,M,0,Basketball
3095,35,183.0,73.0,M,0,Badminton
3096,20,168.0,61.0,F,0,Football
3097,23,178.0,84.0,M,0,Wrestling
3098,34,184.0,73.0,M,0,Sailing
3099,21,170.0,,M,0,Boxing
3100,27,165.0,,M,0,Gymnastics - Artistic
3101,24,174.0,64.0,F,1,Fencing
3102,20,,,M,0,Swimming
3103,21,,,M,0,Boxing
3104,23,185.0,73.0,M,0,Football
3105,29,185.0,75.0,M,0,Athletics
3106,21,166.0,63.0,F,0,Football
3107,25,173.0,68.0,F,0,Tennis
3108,26,176.0,84.0,M,0,Wrestling
3109,42,185.0,70.0,M,0,Equestrian
3110,25,,,M,0,Athletics
3111,29,178.0,98.0,M,1,Archery
3112,25,174.0,63.0,F,0,Athletics
3113,34,174.0,53.0,F,0,Athletics
3114,39,165.0,57.0,F,0,Shooting
3115,25,168.0,61.0,F,0,Athletics
3116,27,166.0,60.0,F,0,Diving
3117,28,175.0,95.0,F,0,Athletics
3118,26,174.0,66.0,F,0,Beach Volleyball
3119,27,193.0,93.0,M,0,Water Polo
3120,24,179.0,72.0,M,0,Cycling - Road
3121,27,179.0,70.0,M,0,Diving
3122,23,170.0,60.0,M,1,Judo
3123,25,165.0,60.0,F,0,Shooting
3124,24,177.0,66.0,F,0,Cycling - Track
3125,29,165.0,52.0,F,0,Athletics
3126,31,202.0,80.0,F,0,Volleyball
3127,23,164.0,55.0,F,0,Swimming
3128,24,167.0,,M,0,Trampoline
3129,26,,,F,0,Canoe Sprint
3130,20,169.0,62.0,F,0,Swimming
3131,27,178.0,75.0,M,0,Fencing
3132,22,181.0,67.0,F,0,Water Polo
3133,20,186.0,78.0,M,0,Swimming
3134,22,183.0,68.0,M,0,Archery
3135,40,174.0,75.0,M,0,Archery
3136,20,165.0,54.0,F,0,Swimming
3137,22,173.0,75.0,F,0,Water Polo
3138,25,179.0,73.0,F,0,Swimming
3139,22,168.0,56.0,F,0,Badminton
3140,32,165.0,57.0,F,0,Hockey
3141,29,179.0,82.0,M,0,Table Tennis
3142,20,190.0,81.0,F,0,Basketball
3143,29,182.0,75.0,F,0,Rowing
3144,24,164.0,,F,0,Gymnastics - Rhythmic
3145,32,192.0,102.0,M,0,Basketball
3146,25,170.0,68.0,F,0,"Cycling - Road, Cycling - Track"
3147,24,165.0,63.0,F,0,Judo
3148,30,190.0,85.0,M,0,Handball
3149,23,,,M,0,Swimming
3150,42,172.0,64.0,M,0,Athletics
3151,24,,,M,0,Canoe Sprint
3152,34,177.0,59.0,M,0,Athletics
3153,21,188.0,90.0,F,0,Water Polo
3154,24,155.0,52.0,F,0,Judo
3155,36,191.0,89.0,M,0,Volleyball
3156,31,167.0,52.0,F,0,Athletics
3157,27,173.0,57.0,M,0,Athletics
3158,23,,,M,0,Athletics
3159,25,174.0,105.0,M,0,Weightlifting
3160,22,172.0,,M,0,Taekwondo
3161,28,198.0,92.0,M,0,Water Polo
3162,27,173.0,66.0,M,0,Judo
3163,24,188.0,,M,0,Taekwondo
3164,29,163.0,54.0,F,0,Cycling - Road
3165,18,165.0,55.0,M,1,Diving
3166,30,161.0,60.0,F,0,Cycling - Track
3167,29,190.0,91.0,M,0,Water Polo
3168,22,166.0,,F,0,Gymnastics - Artistic
3169,18,168.0,57.0,F,0,Swimming
3170,28,,,F,0,Swimming
3171,33,192.0,92.0,M,0,Beach Volleyball
3172,22,172.0,60.0,F,0,Swimming
3173,33,178.0,69.0,M,0,Table Tennis
3174,30,180.0,62.0,M,0,Athletics
3175,21,170.0,,M,0,Gymnastics - Artistic
3176,24,194.0,94.0,M,0,Handball
3177,30,180.0,73.0,M,0,Sailing
3178,21,167.0,75.0,M,0,Football
3179,38,174.0,69.0,M,0,Cycling - Road
3180,25,175.0,73.0,M,0,Athletics
3181,21,188.0,100.0,M,0,Judo
3182,18,,,M,0,Athletics
3183,21,183.0,73.0,M,0,Swimming
3184,35,179.0,66.0,M,0,Triathlon
3185,25,181.0,69.0,F,0,Swimming
3186,26,178.0,61.0,M,0,Athletics
3187,34,162.0,52.0,F,0,Athletics
3188,30,175.0,74.0,M,0,Wrestling
3189,26,156.0,54.0,F,0,Hockey
3190,24,178.0,65.0,F,0,Athletics
3191,21,,,F,0,Athletics
3192,25,,,M,0,Athletics
3193,27,170.0,62.0,F,0,Football
3194,29,193.0,93.0,M,0,Water Polo
3195,24,184.0,90.0,M,0,Judo
3196,25,166.0,64.0,F,0,Handball
3197,23,171.0,67.0,M,0,Swimming
3198,30,174.0,69.0,M,0,Table Tennis
3199,34,,,M,0,Sailing
3200,25,179.0,69.0,F,0,Rowing
3201,19,164.0,58.0,F,0,Hockey
3202,27,170.0,55.0,F,0,Fencing
3203,25,196.0,96.0,M,0,Water Polo
3204,23,182.0,69.0,M,0,Athletics
3205,19,,,M,0,Table Tennis
3206,28,174.0,49.0,F,0,Athletics
3207,29,184.0,90.0,M,0,Water Polo
3208,20,163.0,55.0,F,0,Canoe Slalom
3209,32,185.0,72.0,M,0,Swimming
3210,22,175.0,60.0,F,0,Swimming
3211,22,168.0,59.0,F,0,Rowing
3212,36,201.0,95.0,M,0,Beach Volleyball
3213,26,178.0,84.0,M,0,Swimming
3214,25,173.0,77.0,F,1,Judo
3215,25,190.0,95.0,M,0,Basketball
3216,22,177.0,75.0,F,0,Water Polo
3217,26,195.0,101.0,M,1,Rowing
3218,30,181.0,72.0,M,0,Rowing
3219,19,167.0,59.0,F,0,Water Polo
3220,26,170.0,50.0,F,0,Rowing
3221,38,180.0,75.0,M,0,Football
3222,27,190.0,76.0,F,0,Water Polo
3223,28,177.0,62.0,M,0,Triathlon
3224,35,165.0,60.0,M,0,Cycling - Road
3225,21,161.0,,F,0,Gymnastics - Artistic
3226,30,183.0,70.0,M,0,Cycling - Road
3227,34,187.0,98.0,M,0,Handball
3228,36,192.0,97.0,M,0,Handball
3229,24,185.0,73.0,M,0,Athletics
3230,32,172.0,58.0,M,0,Athletics
3231,24,175.0,58.0,F,0,Cycling - Road
3232,28,193.0,85.0,M,1,Swimming
3233,37,195.0,85.0,M,0,Rowing
3234,35,196.0,91.0,M,0,Basketball
3235,34,185.0,70.0,F,0,Volleyball
3236,32,187.0,82.0,M,0,Table Tennis
3237,38,170.0,74.0,M,0,Shooting
3238,24,187.0,78.0,M,0,Water Polo
3239,22,162.0,52.0,F,0,Athletics
3240,32,202.0,101.0,M,0,Basketball
3241,28,183.0,80.0,M,0,Volleyball
3242,24,188.0,75.0,M,0,Tennis
3243,32,163.0,,M,0,Gymnastics - Artistic
3244,27,161.0,63.0,F,1,Weightlifting
3245,46,160.0,50.0,F,0,Shooting
3246,27,,,M,0,Athletics
3247,34,178.0,64.0,F,0,Sailing
3248,24,193.0,75.0,M,0,Archery
3249,21,,,M,0,Diving
3250,25,180.0,77.0,M,0,Athletics
3251,25,185.0,82.0,M,0,Water Polo
3252,19,198.0,87.0,M,0,Swimming
3253,27,186.0,81.0,M,0,Rowing
3254,27,185.0,81.0,M,0,Rowing
3255,31,162.0,57.0,F,0,Diving
3256,20,168.0,,F,0,Taekwondo
3257,23,191.0,83.0,M,0,Swimming
3258,20,167.0,58.0,F,0,Cycling - Track
3259,19,190.0,86.0,M,0,Cycling - Track
3260,29,186.0,95.0,F,0,Athletics
3261,23,192.0,88.0,M,0,Swimming
3262,31,184.0,82.0,M,0,Shooting
3263,16,175.0,54.0,F,0,Swimming
3264,23,185.0,84.0,F,0,Athletics
3265,22,193.0,86.0,M,0,Football
3266,27,171.0,,F,0,Synchronised Swimming
3267,26,178.0,70.0,F,1,Rowing
3268,22,170.0,,M,0,Trampoline
3269,23,174.0,78.0,F,0,Hockey
3270,26,167.0,60.0,M,0,Judo
3271,25,180.0,76.0,M,0,Athletics
3272,21,163.0,52.0,F,1,Judo
3273,19,167.0,65.0,F,0,Cycling - Track
3274,25,202.0,113.0,M,0,Water Polo
3275,25,156.0,53.0,F,1,Shooting
3276,29,192.0,107.0,M,0,Water Polo
3277,29,183.0,82.0,M,0,Swimming
3278,30,194.0,100.0,M,0,Rowing
3279,20,168.0,68.0,M,0,Weightlifting
3280,28,158.0,50.0,F,0,Hockey
3281,36,178.0,84.0,M,0,Archery
3282,27,191.0,80.0,F,0,Basketball
3283,26,165.0,60.0,M,0,Judo
3284,35,192.0,85.0,M,0,Volleyball
3285,28,188.0,88.0,M,0,Shooting
3286,37,163.0,56.0,M,0,Weightlifting
3287,23,180.0,69.0,F,0,Tennis
3288,21,180.0,69.0,M,0,Tennis
3289,22,170.0,66.0,M,0,Wrestling
3290,20,166.0,58.0,F,0,Athletics
3291,32,185.0,96.0,M,0,Wrestling
3292,23,166.0,50.0,F,0,Badminton
3293,22,180.0,80.0,M,0,Hockey
3294,31,188.0,92.0,M,0,Water Polo
3295,26,204.0,110.0,M,0,Handball
3296,28,180.0,65.0,M,0,Cycling - Road
3297,28,186.0,95.0,M,1,Shooting
3298,29,194.0,92.0,M,0,Beach Volleyball
3299,28,180.0,69.0,F,0,Beach Volleyball
3300,20,160.0,,F,0,Gymnastics - Artistic
3301,22,171.0,,F,0,Trampoline
3302,25,170.0,50.0,F,0,Athletics
3303,27,168.0,68.0,F,0,Sailing
3304,26,166.0,56.0,F,0,Fencing
3305,32,168.0,67.0,F,0,Canoe Sprint
3306,23,,72.0,F,0,Athletics
3307,22,178.0,76.0,M,0,Fencing
